address_type,address,last_active,active_chains,tx_count_7d,tx_count_30d
evm,0x375fe3a8f7a7147b5c70b2189d1a951f293401fb,2026-04-13 08:51:59.000 UTC,bnb|ethereum,8,13
sol,FcVNCr9sbBmLdiVRqXbhAiDPSYgvT7K7Usoch24cKMr9,2026-04-13 08:43:14.000 UTC,solana,3,38
sol,A5dYvUvmJCofFoyXiTCoYVXXkv5ofNc1B2yhECgXcJUs,2026-04-13 03:41:02.000 UTC,solana,18,21
evm,0x1819e507569c4943c0c1bf6b06558ebcc3e35f3a,2026-04-13 01:27:01.000 UTC,base|bnb|ethereum,12,58
evm,0x1c3d378c4471da162b2384559bc3ac61f1bc1813,2026-04-12 08:57:15.000 UTC,bnb,8,10
evm,0x61fd0d043d519f5a2bd05785000f30db96809429,2026-04-11 22:18:35.000 UTC,base|ethereum,8,13
evm,0x7e5ce10826ee167de897d262fcc9976f609ecd2b,2026-04-11 19:13:47.000 UTC,base|ethereum,7,62
evm,0x63a556c75443b176b5a4078e929e38beb37a1ff2,2026-04-11 15:33:59.000 UTC,base|ethereum,14,14
evm,0x75f57d5474de096dca10078a58a47016216e7ca1,2026-04-11 14:53:23.000 UTC,base|bnb|ethereum,3,36
evm,0x0000ce08fa224696a819877070bf378e8b131acf,2026-04-10 20:56:23.000 UTC,base|bnb|ethereum,4,125
sol,J3vt8yUhSWPKddsurCtnwCRmX4prtRhfBeBd1wPgv1Q2,2026-04-10 18:49:07.000 UTC,solana,6,35
evm,0xeca85146092c3be0ae36d36f39b3d6fe5a7e4b69,2026-04-10 16:02:35.000 UTC,base|bnb|ethereum,5,17
evm,0xd74554760adc11bb290e28ba7fc07c33923693ef,2026-04-10 13:35:11.000 UTC,base|ethereum,5,15
sol,2BNKXsGYp5GH9RanhLvUQxEbb4DQM8RcVkTKMhZ3S1uo,2026-04-10 09:35:04.000 UTC,solana,5,11
evm,0xac706ef4ba6fb3477d86ea9e19df2af96d13a2d4,2026-04-10 09:06:15.000 UTC,bnb|ethereum,8,12
evm,0x1a4c7b5e3bd7cdb160fe65f626581bd63f45c576,2026-04-10 08:51:40.000 UTC,base|bnb|ethereum,3,10
evm,0xae3754df0459fa3c5a65a90155d71e09c9a604fd,2026-04-10 08:02:45.000 UTC,base|bnb|ethereum,3,23
evm,0xc4d80fbb52932ea650d258a4899055871f52f7cd,2026-04-09 17:15:47.000 UTC,base|bnb|ethereum,6,47
evm,0x62ab19378ddbf800af130a595b7a3f6bafcadc30,2026-04-09 15:42:54.000 UTC,base|bnb|ethereum,3,15
evm,0x66342cdb636aba7b1ccc2f95efabbc7ba3b1947d,2026-04-09 08:19:23.000 UTC,bnb|ethereum,4,15
evm,0x45db9d3457c2cb05c4bfc7334a33cee6e19d508f,2026-04-09 03:27:43.000 UTC,base,5,13
evm,0x99ede7fec7ca75b461dc4f3693b06054e3a95ae0,2026-04-08 16:14:25.000 UTC,base|bnb|ethereum,16,42
evm,0xe71cbf47fff309813bcea54f3ecf49a5f129264d,2026-04-08 11:54:23.000 UTC,bnb|ethereum,6,106
